condition,label,author,fold,observation_index,score,calibrated_threshold,normalised_score,flagged
flash,human,charles_dickens,3,13,116.1172105899492,448.9392291876774,0.2586479484095314,0
flash,human,charles_dickens,3,14,88.8531153448237,448.9392291876774,0.19791791308947737,0
flash,human,charles_dickens,3,15,113.17897135590093,448.9392291876774,0.25210309992443736,0
flash,human,charles_dickens,3,16,141.63314001371222,448.9392291876774,0.31548399160836754,0
flash,human,charles_dickens,3,17,117.05876063254082,448.9392291876774,0.2607452256831065,0
flash,human,charles_dickens,3,18,129.68326321044376,448.9392291876774,0.28886596398603015,0
flash,human,charles_dickens,3,19,148.33389041440034,448.9392291876774,0.3304097320316597,0
flash,human,charles_dickens,3,20,181.06196900375062,448.9392291876774,0.40331064258155597,0
flash,human,charles_dickens,3,21,162.32979386344704,448.9392291876774,0.36158522871162513,0
flash,human,charles_dickens,3,22,164.83711899664686,448.9392291876774,0.3671702276829484,0
flash,human,charles_dickens,3,23,209.85897679914768,448.9392291876774,0.4674551991789002,0
flash,human,charles_dickens,3,24,107.43389769179265,448.9392291876774,0.23930610360379154,0
flash,human,charles_dickens,3,25,171.34862843291933,448.9392291876774,0.38167443897242415,0
flash,human,charles_dickens,3,26,160.52415056102546,448.9392291876774,0.3575632070547324,0
flash,human,charles_dickens,3,27,176.77636492161113,448.9392291876774,0.3937645753111729,0
flash,human,charles_dickens,3,28,180.94148521182765,448.9392291876774,0.40304226819123823,0
flash,human,charles_dickens,3,29,113.87486483292858,448.9392291876774,0.2536531838373242,0
flash,human,charles_dickens,3,30,115.56496134673931,448.9392291876774,0.2574178281453497,0
flash,human,charles_dickens,3,31,149.64978512233043,448.9392291876774,0.3333408519302506,0
flash,human,charles_dickens,3,32,121.40818349840863,448.9392291876774,0.27043344756948023,0
flash,human,charles_dickens,3,33,96.18063404411886,448.9392291876774,0.21423976295889904,0
flash,human,charles_dickens,3,34,192.22202525142177,448.9392291876774,0.42816936626196245,0
flash,human,mark_twain,2,1,223.93111541217144,490.58141011645677,0.4564606623781637,0
flash,human,mark_twain,2,2,271.9149875494597,490.58141011645677,0.5542708752150047,0
flash,human,mark_twain,2,3,202.56902260357165,490.58141011645677,0.41291622231564945,0
flash,human,mark_twain,2,4,264.82928724934743,490.58141011645677,0.5398274002809867,0
flash,human,mark_twain,2,5,237.8304598756396,490.58141011645677,0.48479305365277126,0
flash,human,mark_twain,2,6,265.28883861638707,490.58141011645677,0.5407641487136894,0
flash,human,mark_twain,2,7,197.06436669078914,490.58141011645677,0.40169554456620965,0
flash,human,mark_twain,2,8,174.00858257026843,490.58141011645677,0.3546986880912617,0
flash,human,mark_twain,2,9,122.51068732956142,490.58141011645677,0.24972549877191472,0
flash,human,mark_twain,2,10,113.35158554422966,490.58141011645677,0.23105560709551076,0
flash,human,mark_twain,2,11,318.0292058226025,490.58141011645677,0.6482699899841436,0
flash,human,mark_twain,2,12,138.67231499636816,490.58141011645677,0.2826693228417469,0
flash,human,mark_twain,2,13,166.96340768221333,490.58141011645677,0.340337820062482,0
flash,human,mark_twain,2,14,183.0722932334682,490.58141011645677,0.37317413472722,0
flash,human,mark_twain,2,15,127.68221384805481,490.58141011645677,0.26026712634248605,0
flash,human,mark_twain,2,16,216.49022902152137,490.58141011645677,0.44129317694718556,0
flash,human,mark_twain,2,17,439.61825878264847,490.58141011645677,0.8961168314108959,0
flash,human,mark_twain,2,18,141.00817574594387,490.58141011645677,0.28743073593528673,0
flash,human,mark_twain,2,19,239.3594492195613,490.58141011645677,0.4879097419585078,0
flash,human,mark_twain,2,20,123.26039004242801,490.58141011645677,0.25125369102993084,0
flash,human,mark_twain,2,21,121.41404633599639,490.58141011645677,0.24749010833324175,0
