contrast,left,right,rival_mode,window_policy,feature,test_chunk_size,n_authors,accuracy_difference,accuracy_ci_low,accuracy_ci_high,accuracy_wilcoxon_p,kl_true_difference,kl_true_ci_low,kl_true_ci_high,kl_true_wilcoxon_p,margin_difference,margin_ci_low,margin_ci_high,margin_wilcoxon_p,gap_low,gap_high
gap growth,gap N=4000,gap N=1000,asymmetric,random,f3,1000,18,-0.024292122557325255,-0.059755194696718056,0.006679007206210002,0.30379486083984375,,,,,,,,,0.08043249761372369,0.056140375056398434
gap growth,gap N=2000,gap N=500,asymmetric,random,f1,2000,18,-0.0003757585194554231,-0.019976377722045885,0.017938914693675003,0.7987060546875,,,,,,,,,0.06540004826966851,0.06502428975021307
gap growth,gap N=4000,gap N=500,asymmetric,random,f1,2000,17,-0.014271834892453237,-0.07281900300692234,0.04001659450920439,0.7466583251953125,,,,,,,,,0.0630379596057928,0.04876612471333955
gap growth,gap N=4000,gap N=1000,asymmetric,random,f1,2000,17,-0.025811760165523334,-0.08192021093198294,0.028824315820595893,0.35197884167136195,,,,,,,,,0.07457788487886287,0.04876612471333955
gap growth,gap N=2000,gap N=500,asymmetric,random,f1,1000,19,0.0018381693667470324,-0.017094527445069386,0.020436231769156262,0.5677604675292969,,,,,,,,,0.0560249196387564,0.057863089005503444
gap growth,gap N=4000,gap N=500,asymmetric,random,f1,1000,18,-0.008587008968191943,-0.046072686121669565,0.026900032511485962,0.6094589233398438,,,,,,,,,0.05828864974214412,0.049701640773952165
gap growth,gap N=4000,gap N=1000,asymmetric,random,f1,1000,18,-0.01860180039214362,-0.05710917584637894,0.016034948855311593,0.39273834228515625,,,,,,,,,0.0683034411660958,0.049701640773952165
gap growth,gap N=2000,gap N=500,asymmetric,middle,f3,2000,18,0.019742433931238486,-0.04658855251502311,0.08073989590948781,0.40804420568711997,,,,,,,,,0.05774249364382192,0.0774849275750604
gap growth,gap N=4000,gap N=500,asymmetric,middle,f3,2000,17,0.013738657180702345,-0.054898592145550804,0.0743365391444245,0.4873809814453125,,,,,,,,,0.06113911091698791,0.07487776809769027
gap growth,gap N=4000,gap N=1000,asymmetric,middle,f3,2000,17,-0.012083019791566453,-0.06549637028756278,0.04029204689330284,0.683239071626591,,,,,,,,,0.08696078788925672,0.07487776809769027
gap growth,gap N=2000,gap N=500,asymmetric,middle,f3,1000,19,-0.0017078681686356928,-0.06373950072934685,0.0529318320543048,0.8405177356132087,,,,,,,,,0.08178495802188147,0.08007708985324577
gap growth,gap N=4000,gap N=500,asymmetric,middle,f3,1000,18,-0.02207043340218013,-0.08409244208194397,0.03249960837287671,0.7018814086914062,,,,,,,,,0.08632856680087489,0.06425813339869475
gap growth,gap N=4000,gap N=1000,asymmetric,middle,f3,1000,18,-0.011217797474918575,-0.04797301004495737,0.0247928713790669,0.5798416137695312,,,,,,,,,0.07547593087361333,0.06425813339869475
gap growth,gap N=2000,gap N=500,asymmetric,middle,f1,2000,18,-0.001913344742181744,-0.07043850502184866,0.0652812933110385,0.9305832517004332,,,,,,,,,0.05837862914025496,0.056465284398073225
gap growth,gap N=4000,gap N=500,asymmetric,middle,f1,2000,17,-0.005574857567279568,-0.09020488607368907,0.07411870032244793,0.926513671875,,,,,,,,,0.05854469229229611,0.05296983472501654
gap growth,gap N=4000,gap N=1000,asymmetric,middle,f1,2000,17,0.022857005265853294,-0.047068418207863234,0.08515291077124386,0.27753025059514513,,,,,,,,,0.03011282945916325,0.05296983472501654
gap growth,gap N=2000,gap N=500,asymmetric,middle,f1,1000,19,0.0004161388739755733,-0.05035326193794559,0.049687520560572906,1.0,,,,,,,,,0.058441338196268885,0.058857477070244475
gap growth,gap N=4000,gap N=500,asymmetric,middle,f1,1000,18,-0.0029363253183983173,-0.06851715774280606,0.052277820028740804,0.932281494140625,,,,,,,,,0.06323128908371595,0.060294963765317594
gap growth,gap N=4000,gap N=1000,asymmetric,middle,f1,1000,18,0.01904418326378728,-0.031271490529765376,0.06461897284467165,0.44229888916015625,,,,,,,,,0.04125078050153034,0.060294963765317594
